sid	001B	003B	013B	014B	019B	020B	025B	026B	045B	052B	064B	069B	070B	087B	093B	099B	100B	101B	147B	148B	150B	169B	186B	187B	503A	505A	507A	509A	004B	005B	009B	012B	016B	017B	027B	028B	030B	035B	037B	038B	040B	041B	049B	053B	056B	061B	067B	068B	072B	078B	082B	088B	089B	103B	104B	105B	107B	108B	109B	110B	112B	126B	128B	140B	142B	144B	170B	172B	174B	176B	178B	179B	008B	029B	032B	033B	034B	036B	047B	051B	071B	073B	075B	076B	079B	080B	084B	090B	091B	092B	094B	096B	097B	102B	502A	504A	506A	508A	011B	018B	021B	031B	042B	043B	055B	057B	060B	062B	063B	066B	077B	085B	086B	119B
group	HLT	HLT	HLT	HLT	HLT	HLT	HLT	HLT	HLT	HLT	HLT	HLT	HLT	HLT	HLT	HLT	HLT	HLT	HLT	HLT	HLT	HLT	HLT	HLT	HLT	HLT	HLT	HLT	ERA	ERA	ERA	ERA	ERA	ERA	ERA	ERA	ERA	ERA	ERA	ERA	ERA	ERA	ERA	ERA	ERA	ERA	ERA	ERA	ERA	ERA	ERA	ERA	ERA	ERA	ERA	ERA	ERA	ERA	ERA	ERA	ERA	ERA	ERA	ERA	ERA	ERA	ERA	ERA	ERA	ERA	ERA	ERA	RA	RA	RA	RA	RA	RA	RA	RA	RA	RA	RA	RA	RA	RA	RA	RA	RA	RA	RA	RA	RA	RA	RA	RA	RA	RA	PsA	PsA	PsA	PsA	PsA	PsA	PsA	PsA	PsA	PsA	PsA	PsA	PsA	PsA	PsA	PsA
Otu1	737	1327	2082	0	29	331	340	1624	145	4	3950	3937	1652	455	689	3307	0	3886	0	4880	485	65	137	1476	2295	7599	60	1	502	22	36	5320	67	0	1705	856	1337	2619	7	881	57	678	312	27	98	468	0	61	175	1127	398	792	38	517	1727	0	46	177	143	1861	2264	0	21	5531	6870	9	129	1516	0	2375	436	258	548	355	323	1288	3	1444	4068	1471	1905	1309	0	2575	5557	1573	0	1969	2108	1573	107	5814	1492	1292	4882	2833	498	2072	427	838	562	311	150	2594	8955	3663	32	0	0	0	3567	6525	622	1471
Otu2	1583	146	1941	149	18	616	292	1121	988	0	1000	1255	757	37	239	1517	606	918	0	2070	680	133	472	2393	2339	0	330	2486	629	29	20	89	0	557	725	136	12	0	3	1640	74	473	270	149	176	28	11	9	16	72	520	182	8	138	550	123	1	54	207	235	293	1	0	174	0	49	1	1173	4701	3559	76	980	113	131	531	321	5	1936	253	443	1174	850	2046	175	2178	1677	499	770	2180	220	46	410	1031	270	971	1466	301	652	2930	424	290	27	14	156	878	1330	0	1822	1916	0	437	179	45	859
Otu3	13	25	470	3071	0	306	232	0	1690	0	0	0	0	62	804	0	2462	684	2143	0	0	606	11	1163	0	0	1622	3079	5	0	0	0	0	1834	0	0	1745	0	0	2054	0	0	74	0	28	7	25	0	0	256	455	0	0	19	0	406	15	0	135	508	341	2	0	214	0	105	0	0	557	333	17	200	0	88	728	0	0	0	57	0	549	2411	5788	0	0	2	3752	0	1	0	12	0	1392	831	0	0	553	0	3361	0	0	0	178	0	0	0	0	6168	4774	0	0	852	0	0
Otu4	0	0	0	6	5748	0	0	0	0	4024	0	0	0	0	4575	0	0	10	0	0	0	420	5994	0	0	0	0	0	0	1514	1180	0	6568	0	4644	3627	6556	0	5124	0	2569	2855	3108	4349	5114	8708	3629	7326	6059	4986	1342	4390	7372	1186	21	2119	5919	4071	4354	1	5	5962	4383	0	3640	4786	0	0	0	6	5154	0	0	0	0	0	4457	0	0	0	0	0	0	0	0	0	0	0	0	0	5660	0	0	296	0	0	0	0	0	0	0	909	0	0	0	0	3787	0	0	0	0	34	2832	85
Otu5	396	0	0	738	137	0	59	0	503	0	0	0	0	57	0	0	34	0	0	0	0	15	0	3	0	0	0	0	0	839	217	1	42	0	0	18	0	0	69	0	0	0	253	8	500	0	1748	0	41	3215	185	308	9	0	384	120	66	0	0	2	0	0	3	0	0	103	3	3	0	0	24	2	0	4736	0	174	897	874	0	29	0	0	18	23	0	0	0	30	0	0	0	0	0	347	0	0	0	0	0	1110	0	276	3346	0	0	0	4	0	0	0	0	0	146	0
Otu6	57	206	0	2	0	382	372	0	293	0	0	0	0	0	0	0	1288	1	674	0	0	0	170	463	1258	0	0	0	102	0	0	0	0	0	367	44	560	0	0	0	0	0	0	0	13	19	0	0	0	0	0	0	0	16	0	0	1	0	0	1069	1219	0	0	2571	1	0	0	0	0	0	116	119	31	42	297	0	0	0	3122	0	0	0	0	0	0	95	0	0	266	2331	4	0	0	392	0	1088	0	713	0	431	0	0	0	1390	0	440	0	927	1728	0	0	936	300	0
Otu7	53	80	100	36	465	712	8	8	54	161	2	8	135	37	134	150	452	32	104	188	526	70	156	91	0	43	0	68	20	76	53	57	47	91	32	587	5	16	53	1424	57	1	974	9	35	17	31	0	4	41	543	3	24	310	13	40	19	230	60	397	1416	855	319	13	61	761	14	90	308	406	625	191	0	8	19	0	155	93	10	438	491	832	583	2	101	17	10	56	16	10	292	0	123	18	0	17	0	257	18	125	153	199	9	28	0	0	4	0	0	2	5	0	3	31
Otu8	29	249	0	4	34	25	24	557	192	97	261	1238	221	191	414	78	270	78	91	100	20	3	13	65	325	67	29	182	146	88	291	862	113	752	108	63	53	727	217	17	374	178	593	95	85	48	3	195	127	21	0	812	152	483	242	375	88	67	416	644	205	23	124	0	26	39	238	26	301	100	24	309	1569	106	15	97	120	844	17	316	0	306	52	945	254	183	775	117	0	113	600	163	848	252	131	0	0	222	201	0	0	22	37	1046	0	0	486	610	118	964	0	11	29	540
Otu9	106	180	259	64	16	93	50	161	63	19	1315	0	503	9	221	360	74	0	1063	625	0	148	157	100	0	0	623	33	48	32	8	0	21	0	120	35	79	95	6	91	78	12	33	28	1	36	44	256	4	8	303	96	14	50	143	13	3	40	35	36	225	0	59	34	0	50	1	16	1342	148	215	35	0	32	210	875	17	191	327	71	356	126	58	312	79	357	142	18	345	80	3	0	34	132	30	168	0	417	0	170	18	0	38	16	0	352	0	1176	120	4125	415	91	0	358
Otu10	0	463	0	252	43	0	0	130	31	0	1613	0	0	0	0	0	0	0	0	0	734	0	156	0	995	0	0	0	741	1	0	0	0	0	108	0	58	0	0	78	0	0	247	0	0	61	0	20	0	93	85	0	2	83	70	0	0	0	58	163	149	0	0	465	0	5	0	0	0	82	18	0	17	178	238	0	0	0	270	166	0	666	0	2552	0	666	0	0	1110	0	0	0	0	69	3574	1089	0	3436	0	187	16	19	579	59	0	0	10	0	382	0	2003	186	0	0
Otu11	0	79	637	43	53	41	4	100	193	8	0	126	0	74	1	27	98	75	145	50	36	76	23	21	24	13	0	0	0	1	78	543	0	77	129	14	0	112	11	713	7	133	12	55	94	7	26	0	10	115	18	31	10	93	40	37	24	120	27	132	567	2	1	3	48	16	144	4	103	56	23	6	0	286	186	59	18	47	0	191	0	145	159	19	0	210	909	154	0	59	92	0	311	24	0	0	0	61	392	0	0	0	0	193	0	0	36	0	324	0	488	0	8	41
Otu12	0	0	0	0	0	0	0	0	0	346	0	0	0	916	1999	0	0	0	0	0	0	193	0	0	0	0	0	0	0	77	365	0	0	0	0	1250	0	0	166	0	263	3943	0	138	0	0	91	0	1271	0	0	0	2484	285	0	2223	491	219	0	0	0	949	0	0	0	0	1586	15	0	0	1542	0	0	0	0	0	1072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3433	23	2050	0	0	0	0	0	0	0	0	0	1715	0
Otu13	585	152	0	12	3	72	8	0	387	0	0	0	148	0	1	0	211	8	18	0	145	0	233	39	144	0	84	156	152	0	0	0	0	6	169	0	0	2	0	82	0	25	0	0	30	184	1	1	1	90	66	0	4	8	0	18	0	0	16	100	196	0	0	24	0	0	0	25	0	40	0	40	8	47	286	320	0	230	0	139	61	200	290	55	469	540	118	370	0	296	1	0	152	479	128	255	0	313	0	150	0	0	0	14	0	67	0	0	0	0	77	165	0	474
Otu14	0	757	0	1	0	142	0	0	60	0	0	0	0	1	1	0	1	0	7	0	86	0	0	0	0	0	0	0	326	0	0	0	36	1060	0	0	0	982	33	0	0	319	0	70	0	481	0	0	0	175	0	9	0	3	0	0	0	70	23	66	114	0	0	0	0	1	79	31	0	0	0	0	0	356	424	0	0	0	0	44	278	33	0	0	14	247	1483	124	0	19	0	2	323	25	4	0	0	0	20	0	0	7	0	0	0	0	0	0	374	0	0	0	4	80
Otu15	0	0	1696	21	0	8	13	0	11	3	8	806	0	16	0	0	220	0	454	347	58	71	0	681	47	0	64	0	0	1	3	151	65	152	23	0	78	0	0	94	136	3	5	3	8	13	71	21	33	22	19	0	0	92	75	0	0	51	24	54	21	0	0	123	0	18	0	88	141	6	104	0	409	5	8	44	0	154	6	36	322	261	781	10	11	21	37	52	341	57	15	0	477	29	50	63	116	1	0	0	39	8	0	0	0	186	0	401	174	0	0	3	23	7
Otu16	3	68	93	33	0	14	14	33	52	0	69	0	41	0	46	135	47	0	0	16	135	0	0	165	0	238	0	64	0	0	0	54	0	44	0	3	0	1	0	0	0	11	24	2	0	13	0	0	48	0	11	0	1	12	461	2	0	1	125	23	55	0	0	3	0	0	0	2	89	209	17	6	0	1	6	888	0	90	12	9	0	0	21	16	170	140	4	69	98	0	0	12	0	170	0	4	1987	325	0	2	2	0	15	3	0	0	0	0	2	0	18	0	1	133
Otu17	564	195	188	28	14	26	66	40	350	301	656	0	275	89	0	0	25	461	0	184	217	0	44	14	62	0	118	105	144	0	22	0	8	24	64	115	55	0	2	62	187	0	0	25	18	39	125	204	34	0	160	0	0	141	339	1	1	0	75	45	98	3	9	29	0	12	9	0	293	24	47	180	0	28	54	643	0	133	17	262	96	0	167	31	50	83	0	56	74	79	8	0	29	40	82	0	249	121	0	29	71	16	6	67	0	45	5	0	44	0	423	138	16	62
Otu18	288	68	0	0	0	135	156	0	140	0	0	0	68	0	0	1346	0	0	0	0	0	650	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	822	2	17	0	1	0	8	0	0	0	0	110	0	0	0	47	0	0	0	0	124	0	0	0	241	0	0	0	0	0	0	0	0	0	10	213	0	0	751	0	0	1218	0	0	0	0	1175	0	0	0	0	20	0	0	51	0	683	0	0	0	12	1449	0	0	0	0	0	0	0	0	0	0	30	0	0
Otu19	41	93	1121	340	66	25	4	40	5	0	1035	891	61	15	174	1377	133	1213	520	936	254	21	51	560	427	778	0	77	212	0	11	80	0	373	53	21	474	380	0	0	22	53	122	1	14	51	11	0	6	6	351	147	7	73	61	98	4	27	50	60	32	0	0	167	0	0	0	191	1296	268	38	381	73	18	72	39	3	164	253	75	375	237	205	16	253	27	382	375	723	709	7	0	38	10	138	8	56	514	1051	200	59	7	8	43	418	503	0	118	21	0	67	437	9	137
Otu20	21	152	327	70	39	742	24	0	0	0	0	445	0	411	0	0	0	0	903	570	0	29	0	114	359	135	0	1	0	0	0	0	3	0	0	0	0	0	0	1	0	254	0	0	0	2	0	0	0	87	2	0	0	0	0	0	0	6	0	2	0	0	0	0	0	0	0	54	327	0	0	0	0	0	15	212	0	129	39	27	260	64	102	0	32	57	0	0	94	76	0	0	0	158	0	361	202	294	117	0	0	0	102	37	0	0	0	0	123	0	106	54	0	0
Otu21	109	254	199	65	128	1095	94	254	506	170	49	296	492	424	123	162	265	509	352	0	248	153	339	545	0	0	4	64	172	208	888	153	93	208	286	684	151	1578	300	441	340	353	530	319	336	280	461	59	245	960	350	598	143	316	251	174	130	455	417	356	115	74	115	167	201	144	142	602	44	221	153	330	324	352	437	72	360	567	419	285	920	134	509	237	267	225	330	449	0	786	80	7	711	139	41	0	35	183	1096	273	520	388	837	1429	1	300	54	24	149	0	344	28	304	884
Otu22	84	101	159	39	18	34	65	58	83	9	82	128	81	73	6	61	57	148	24	9	14	5	4	104	29	86	0	73	191	24	6	24	3	620	21	75	49	167	8	9	9	22	7	29	12	19	24	4	33	30	36	45	1	135	6	25	4	14	19	43	57	0	4	29	23	7	20	18	37	6	20	14	1132	57	38	0	6	38	34	282	85	105	18	49	28	77	347	66	0	132	23	62	99	49	68	0	0	63	141	66	90	47	9	8	15	100	2	17	58	602	65	2	28	94
Otu23	142	50	75	48	10	21	34	87	53	6	169	121	175	76	35	92	37	99	11	60	3	14	2	19	23	1	10	7	38	18	3	17	17	84	27	28	55	18	8	11	21	28	39	23	14	16	82	3	43	123	10	40	5	34	104	15	0	15	3	47	37	0	6	59	30	5	4	0	0	2	0	6	205	15	9	103	2	7	28	13	52	137	52	83	49	41	161	158	0	640	29	157	30	34	45	5	11	23	274	0	89	49	5	2	5	0	2	137	82	112	22	2	24	52
Otu24	267	0	0	49	0	0	0	0	0	0	0	0	0	431	5	0	0	0	0	0	503	3	0	0	0	0	0	0	909	0	29	804	0	0	0	34	0	0	2	0	67	23	34	25	16	68	7	0	7	0	0	0	0	239	18	0	0	78	50	0	89	0	0	0	0	182	0	0	0	0	56	0	0	72	0	0	0	0	0	125	0	837	0	0	0	298	0	0	111	326	29	0	4	0	0	0	0	0	0	0	0	27	0	11	0	842	0	0	147	0	0	0	51	0
